id,value_y,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,0.3043478260869568,0,0.58,0.59,0.56,0.60,0.58,0.56,0.60,0.60,0.61,0.60,0.60,0.59,0.58,0.58,0.59,0.55,0.59,0.58,0.59,0.60,0.58,0.59,0.60,0.62,0.58,14.70,0.59,true
1,0.3695652173913042,0.00021222410865874363,0.43,0.45,0.40,0.45,0.45,0.43,0.44,0.45,0.44,0.43,0.43,0.44,0.43,0.45,0.43,0.42,0.45,0.43,0.43,0.42,0.44,0.43,0.43,0.40,0.43,10.83,0.43,false
2,0.42391304347826103,0.00042444821731748726,0.41,0.43,0.44,0.44,0.44,0.42,0.44,0.45,0.44,0.44,0.43,0.44,0.44,0.46,0.42,0.44,0.42,0.44,0.43,0.43,0.46,0.44,0.45,0.44,0.44,10.93,0.44,false
3,0.47826086956521735,0.0006366723259762309,0.40,0.43,0.42,0.44,0.44,0.42,0.43,0.44,0.44,0.45,0.44,0.43,0.43,0.45,0.44,0.45,0.41,0.44,0.44,0.44,0.45,0.45,0.45,0.44,0.42,10.89,0.44,false
4,0.5326086956521742,0.0008488964346349745,0.38,0.40,0.40,0.41,0.41,0.40,0.39,0.40,0.40,0.42,0.41,0.40,0.42,0.43,0.40,0.43,0.40,0.41,0.40,0.41,0.41,0.42,0.42,0.42,0.42,10.21,0.41,false
5,0.5652173913043479,0.0010611205432937182,0.39,0.40,0.41,0.41,0.41,0.40,0.40,0.42,0.41,0.43,0.41,0.43,0.42,0.43,0.41,0.42,0.40,0.42,0.41,0.43,0.42,0.41,0.42,0.43,0.42,10.36,0.41,false
6,0.5978260869565221,0.0012733446519524619,0.41,0.41,0.41,0.43,0.41,0.40,0.41,0.39,0.41,0.41,0.40,0.41,0.42,0.41,0.40,0.41,0.40,0.41,0.41,0.41,0.43,0.41,0.43,0.40,0.42,10.26,0.41,false
7,0.6304347826086958,0.0014855687606112054,0.41,0.41,0.42,0.43,0.41,0.42,0.42,0.40,0.41,0.42,0.42,0.43,0.42,0.41,0.40,0.41,0.41,0.42,0.42,0.41,0.42,0.42,0.42,0.40,0.43,10.39,0.42,false
8,0.6521739130434784,0.001697792869269949,0.39,0.39,0.39,0.41,0.39,0.38,0.40,0.38,0.40,0.40,0.40,0.40,0.39,0.39,0.39,0.39,0.38,0.40,0.37,0.39,0.41,0.39,0.39,0.39,0.40,9.81,0.39,false
9,0.6847826086956521,0.0019100169779286927,0.38,0.39,0.40,0.40,0.38,0.40,0.39,0.38,0.40,0.39,0.39,0.39,0.40,0.39,0.39,0.39,0.38,0.41,0.37,0.39,0.40,0.38,0.40,0.38,0.41,9.78,0.39,false
10,0.7173913043478263,0.0021222410865874364,0.41,0.40,0.42,0.43,0.44,0.41,0.42,0.43,0.44,0.42,0.44,0.43,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.41,0.42,0.40,0.42,0.44,0.42,10.53,0.42,false
11,0.75,0.00233446519524618,0.37,0.38,0.38,0.37,0.39,0.37,0.38,0.38,0.40,0.38,0.41,0.40,0.38,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.39,0.37,0.37,0.38,0.39,9.57,0.38,false
12,0.7826086956521742,0.0025466893039049238,0.39,0.38,0.37,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.39,0.41,0.38,0.39,0.39,0.38,0.40,0.38,0.39,0.38,0.39,0.37,0.38,0.38,0.39,9.66,0.39,false
13,0.8260869565217395,0.0027589134125636672,0.39,0.39,0.38,0.40,0.40,0.39,0.39,0.39,0.40,0.39,0.39,0.40,0.39,0.39,0.39,0.38,0.40,0.39,0.40,0.39,0.39,0.37,0.38,0.39,0.39,9.76,0.39,false
14,0.8586956521739132,0.0029711375212224107,0.41,0.42,0.39,0.43,0.42,0.41,0.40,0.41,0.42,0.41,0.41,0.42,0.41,0.40,0.41,0.40,0.41,0.40,0.41,0.40,0.41,0.39,0.40,0.39,0.40,10.18,0.41,false
15,0.9021739130434784,0.0031833616298811546,0.39,0.39,0.38,0.39,0.39,0.38,0.39,0.40,0.41,0.41,0.39,0.41,0.40,0.40,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.37,0.39,0.39,0.38,9.78,0.39,false
16,0.8804347826086958,0.003395585738539898,0.38,0.37,0.38,0.40,0.40,0.38,0.40,0.39,0.41,0.39,0.39,0.41,0.40,0.40,0.39,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.38,9.72,0.39,false
17,0.8369565217391305,0.0036078098471986416,0.37,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.40,0.37,0.37,0.39,0.38,0.39,0.39,0.38,0.37,0.39,0.38,0.37,0.40,0.37,0.37,0.37,0.38,9.48,0.38,false
18,0.8043478260869568,0.0038200339558573855,0.40,0.41,0.39,0.41,0.42,0.42,0.41,0.42,0.43,0.40,0.40,0.42,0.40,0.41,0.41,0.40,0.43,0.42,0.41,0.40,0.42,0.41,0.40,0.40,0.40,10.24,0.41,false
19,0.7717391304347826,0.004032258064516129,0.42,0.41,0.40,0.43,0.42,0.43,0.42,0.43,0.44,0.40,0.42,0.42,0.41,0.41,0.42,0.43,0.43,0.41,0.41,0.41,0.44,0.42,0.40,0.40,0.42,10.45,0.42,false
20,0.7282608695652174,0.004244482173174873,0.38,0.38,0.37,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.38,0.39,0.37,0.38,0.39,0.37,0.38,0.38,0.38,0.37,0.38,0.37,0.37,0.37,0.38,9.50,0.38,false
21,0.6956521739130437,0.004456706281833617,0.36,0.37,0.36,0.37,0.38,0.37,0.38,0.37,0.38,0.37,0.38,0.39,0.37,0.37,0.38,0.37,0.37,0.36,0.37,0.37,0.37,0.36,0.36,0.36,0.37,9.26,0.37,false
22,0.6630434782608695,0.00466893039049236,0.38,0.39,0.38,0.41,0.39,0.39,0.39,0.38,0.40,0.40,0.41,0.40,0.39,0.42,0.41,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.40,0.40,0.39,9.84,0.39,false
23,0.6304347826086958,0.004881154499151104,0.38,0.38,0.39,0.40,0.40,0.39,0.39,0.38,0.39,0.38,0.40,0.39,0.38,0.42,0.39,0.38,0.39,0.39,0.40,0.38,0.39,0.37,0.37,0.38,0.39,9.70,0.39,false
24,0.5978260869565221,0.0050933786078098476,0.38,0.38,0.37,0.39,0.38,0.39,0.38,0.37,0.39,0.39,0.39,0.40,0.37,0.39,0.40,0.39,0.38,0.40,0.38,0.37,0.38,0.37,0.37,0.38,0.40,9.59,0.38,false
25,0.5652173913043479,0.005305602716468591,0.42,0.41,0.39,0.42,0.43,0.41,0.45,0.43,0.44,0.42,0.43,0.43,0.42,0.44,0.43,0.42,0.44,0.41,0.43,0.41,0.43,0.42,0.43,0.45,0.42,10.63,0.43,false
26,0.5217391304347826,0.0055178268251273345,0.38,0.38,0.37,0.40,0.39,0.39,0.38,0.37,0.38,0.38,0.40,0.39,0.38,0.39,0.38,0.39,0.39,0.39,0.40,0.37,0.39,0.37,0.38,0.39,0.39,9.62,0.38,false
27,0.4891304347826089,0.005730050933786078,0.39,0.39,0.38,0.41,0.41,0.40,0.41,0.39,0.41,0.40,0.41,0.40,0.39,0.40,0.40,0.40,0.39,0.39,0.40,0.39,0.40,0.39,0.41,0.40,0.41,9.97,0.40,false
28,0.45652173913043476,0.005942275042444821,0.40,0.39,0.39,0.41,0.40,0.41,0.42,0.39,0.41,0.40,0.41,0.40,0.40,0.41,0.41,0.39,0.39,0.41,0.42,0.40,0.41,0.39,0.40,0.39,0.40,10.05,0.40,false
29,0.42391304347826103,0.006154499151103565,0.46,0.46,0.46,0.50,0.47,0.48,0.49,0.46,0.48,0.45,0.49,0.47,0.47,0.48,0.48,0.48,0.46,0.46,0.47,0.48,0.47,0.47,0.47,0.45,0.48,11.79,0.47,false
30,0.3804347826086958,0.006366723259762309,0.39,0.41,0.39,0.41,0.41,0.41,0.42,0.40,0.41,0.40,0.40,0.40,0.41,0.40,0.42,0.41,0.40,0.40,0.43,0.40,0.40,0.40,0.39,0.40,0.40,10.11,0.40,false
31,0.3478260869565216,0.006578947368421052,0.38,0.39,0.37,0.40,0.41,0.40,0.41,0.38,0.40,0.40,0.40,0.40,0.39,0.39,0.41,0.40,0.39,0.40,0.42,0.39,0.39,0.38,0.40,0.39,0.41,9.90,0.40,false
32,0.3043478260869568,0.006791171477079796,0.39,0.40,0.38,0.42,0.41,0.42,0.43,0.39,0.43,0.41,0.42,0.40,0.40,0.39,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.38,0.40,0.41,0.43,10.19,0.41,false
33,0.28260869565217417,0.00700339558573854,0.40,0.41,0.39,0.42,0.41,0.43,0.41,0.41,0.41,0.42,0.42,0.43,0.40,0.41,0.42,0.40,0.42,0.42,0.41,0.41,0.43,0.39,0.43,0.43,0.43,10.36,0.41,false
34,0.2608695652173916,0.007215619694397283,0.42,0.43,0.41,0.44,0.43,0.46,0.42,0.45,0.44,0.43,0.44,0.44,0.43,0.45,0.43,0.43,0.43,0.45,0.43,0.43,0.44,0.42,0.45,0.45,0.45,10.90,0.44,false
35,0.23913043478260892,0.007427843803056027,0.44,0.46,0.44,0.44,0.43,0.46,0.44,0.45,0.43,0.45,0.46,0.45,0.43,0.46,0.44,0.44,0.43,0.47,0.45,0.44,0.43,0.44,0.45,0.45,0.46,11.14,0.45,false
36,0.2173913043478263,0.007640067911714771,0.43,0.44,0.42,0.43,0.43,0.46,0.45,0.44,0.45,0.46,0.45,0.45,0.43,0.46,0.44,0.45,0.42,0.44,0.43,0.44,0.43,0.42,0.45,0.43,0.46,11.01,0.44,false
37,0.1847826086956521,0.007852292020373514,0.45,0.48,0.48,0.47,0.48,0.48,0.48,0.48,0.47,0.47,0.50,0.47,0.48,0.49,0.47,0.48,0.47,0.49,0.49,0.50,0.48,0.45,0.49,0.48,0.48,11.96,0.48,false
38,0.1521739130434784,0.008064516129032258,0.46,0.48,0.49,0.47,0.47,0.47,0.46,0.47,0.48,0.48,0.49,0.48,0.51,0.48,0.48,0.49,0.47,0.48,0.48,0.49,0.47,0.45,0.48,0.49,0.50,11.97,0.48,false
39,0.10869565217391315,0.008276740237691002,0.49,0.48,0.52,0.47,0.48,0.48,0.50,0.46,0.48,0.49,0.49,0.48,0.50,0.48,0.49,0.49,0.48,0.49,0.50,0.48,0.48,0.47,0.48,0.49,0.50,12.15,0.49,false
40,0.0652173913043479,0.008488964346349746,0.47,0.47,0.48,0.46,0.46,0.48,0.46,0.47,0.47,0.48,0.48,0.46,0.49,0.48,0.48,0.49,0.48,0.49,0.48,0.49,0.47,0.46,0.46,0.47,0.48,11.86,0.47,false
41,0.07608695652173897,0.00870118845500849,0.47,0.46,0.47,0.45,0.47,0.48,0.47,0.47,0.47,0.47,0.48,0.46,0.48,0.49,0.49,0.48,0.46,0.47,0.47,0.48,0.46,0.46,0.47,0.47,0.47,11.77,0.47,false
42,0.10869565217391315,0.008913412563667233,0.46,0.45,0.47,0.45,0.45,0.47,0.46,0.45,0.46,0.46,0.47,0.45,0.46,0.47,0.47,0.46,0.44,0.46,0.47,0.45,0.46,0.44,0.46,0.47,0.46,11.47,0.46,false
43,0.14130434782608686,0.009125636672325976,0.49,0.48,0.50,0.49,0.49,0.50,0.48,0.48,0.48,0.49,0.50,0.48,0.49,0.49,0.49,0.49,0.47,0.50,0.49,0.48,0.48,0.48,0.47,0.49,0.49,12.17,0.49,false
44,0.16304347826086948,0.00933786078098472,0.47,0.48,0.47,0.47,0.48,0.50,0.48,0.50,0.49,0.48,0.49,0.47,0.49,0.49,0.50,0.49,0.48,0.47,0.52,0.50,0.47,0.48,0.45,0.49,0.47,12.08,0.48,false
45,0.1847826086956521,0.009550084889643463,0.51,0.51,0.50,0.50,0.50,0.53,0.49,0.54,0.51,0.51,0.51,0.49,0.52,0.51,0.52,0.49,0.51,0.48,0.53,0.51,0.51,0.47,0.50,0.50,0.50,12.65,0.51,false
46,0.2173913043478263,0.009762308998302207,0.50,0.51,0.50,0.49,0.50,0.51,0.50,0.51,0.52,0.51,0.52,0.49,0.50,0.51,0.50,0.51,0.49,0.48,0.52,0.50,0.50,0.48,0.50,0.51,0.51,12.57,0.50,false
47,0.23913043478260892,0.009974533106960951,0.54,0.52,0.57,0.53,0.53,0.53,0.53,0.54,0.53,0.53,0.53,0.52,0.54,0.52,0.54,0.54,0.54,0.51,0.53,0.53,0.54,0.53,0.51,0.54,0.52,13.29,0.53,false
48,0.2608695652173916,0.010186757215619695,0.57,0.57,0.57,0.59,0.57,0.57,0.56,0.58,0.58,0.56,0.56,0.55,0.57,0.55,0.57,0.59,0.59,0.56,0.56,0.55,0.57,0.57,0.56,0.55,0.56,14.18,0.57,true
49,0.29347826086956524,0.010398981324278437,0.50,0.49,0.50,0.52,0.50,0.49,0.46,0.51,0.48,0.47,0.50,0.48,0.49,0.47,0.48,0.50,0.49,0.49,0.48,0.49,0.50,0.50,0.48,0.51,0.49,12.27,0.49,false
50,0.3152173913043479,0.010611205432937181,0.49,0.48,0.49,0.48,0.47,0.51,0.47,0.50,0.48,0.47,0.50,0.46,0.50,0.48,0.50,0.49,0.47,0.49,0.48,0.47,0.49,0.47,0.50,0.51,0.46,12.11,0.48,false
51,0.3478260869565216,0.010823429541595925,0.46,0.47,0.46,0.47,0.47,0.49,0.46,0.47,0.47,0.47,0.48,0.45,0.48,0.47,0.47,0.48,0.47,0.48,0.46,0.46,0.48,0.46,0.47,0.49,0.47,11.76,0.47,false
52,0.3804347826086958,0.011035653650254669,0.46,0.46,0.45,0.46,0.46,0.46,0.47,0.46,0.45,0.47,0.48,0.45,0.47,0.48,0.48,0.47,0.46,0.49,0.45,0.47,0.47,0.46,0.47,0.48,0.46,11.64,0.47,false
53,0.41304347826086946,0.011247877758913413,0.47,0.47,0.45,0.47,0.47,0.47,0.48,0.48,0.48,0.45,0.48,0.45,0.47,0.48,0.46,0.48,0.46,0.48,0.46,0.48,0.48,0.49,0.49,0.48,0.46,11.79,0.47,false
54,0.4347826086956521,0.011460101867572157,0.48,0.51,0.48,0.51,0.49,0.51,0.51,0.48,0.50,0.48,0.49,0.48,0.50,0.51,0.49,0.51,0.48,0.52,0.50,0.53,0.49,0.51,0.51,0.49,0.51,12.47,0.50,false
55,0.4673913043478263,0.0116723259762309,0.52,0.54,0.52,0.52,0.53,0.52,0.53,0.52,0.52,0.52,0.53,0.51,0.53,0.53,0.52,0.54,0.50,0.54,0.53,0.55,0.52,0.57,0.53,0.52,0.54,13.20,0.53,false
56,0.5,0.011884550084889643,0.48,0.49,0.48,0.50,0.49,0.49,0.49,0.49,0.49,0.47,0.48,0.49,0.52,0.49,0.49,0.53,0.48,0.52,0.50,0.50,0.52,0.52,0.48,0.49,0.49,12.37,0.49,false
57,0.5434782608695653,0.012096774193548387,0.47,0.49,0.47,0.46,0.49,0.49,0.49,0.48,0.48,0.48,0.50,0.46,0.48,0.50,0.49,0.49,0.46,0.47,0.47,0.48,0.50,0.49,0.51,0.48,0.49,12.07,0.48,false
58,0.5760869565217395,0.01230899830220713,0.43,0.44,0.43,0.43,0.43,0.47,0.43,0.43,0.44,0.44,0.45,0.42,0.43,0.44,0.44,0.46,0.44,0.47,0.43,0.44,0.44,0.45,0.45,0.45,0.46,11.04,0.44,false
59,0.6195652173913042,0.012521222410865875,0.42,0.41,0.41,0.41,0.42,0.44,0.42,0.41,0.42,0.40,0.41,0.40,0.41,0.41,0.42,0.41,0.41,0.44,0.42,0.41,0.42,0.40,0.42,0.41,0.41,10.36,0.41,false
60,0.6630434782608695,0.012733446519524618,0.41,0.41,0.42,0.41,0.41,0.43,0.39,0.41,0.42,0.41,0.42,0.41,0.41,0.41,0.43,0.42,0.41,0.43,0.43,0.41,0.42,0.41,0.42,0.41,0.42,10.38,0.42,false
61,0.7065217391304347,0.012945670628183362,0.45,0.45,0.44,0.43,0.44,0.45,0.42,0.42,0.46,0.43,0.42,0.43,0.42,0.42,0.45,0.45,0.42,0.43,0.44,0.42,0.43,0.43,0.45,0.44,0.44,10.88,0.44,false
62,0.75,0.013157894736842105,0.41,0.41,0.42,0.41,0.42,0.43,0.41,0.41,0.43,0.41,0.43,0.40,0.43,0.41,0.43,0.41,0.41,0.43,0.41,0.40,0.42,0.41,0.42,0.42,0.43,10.42,0.42,false
63,0.7934782608695653,0.013370118845500848,0.44,0.42,0.42,0.43,0.43,0.43,0.42,0.43,0.44,0.42,0.43,0.43,0.41,0.42,0.44,0.43,0.42,0.42,0.41,0.42,0.43,0.43,0.42,0.41,0.44,10.64,0.43,false
64,0.7717391304347826,0.013582342954159592,0.40,0.39,0.39,0.40,0.40,0.41,0.39,0.39,0.43,0.40,0.40,0.39,0.40,0.37,0.41,0.40,0.38,0.41,0.39,0.39,0.40,0.38,0.40,0.38,0.40,9.90,0.40,false
65,0.75,0.013794567062818336,0.42,0.41,0.41,0.41,0.41,0.43,0.42,0.43,0.44,0.42,0.44,0.42,0.40,0.41,0.41,0.41,0.41,0.45,0.41,0.42,0.41,0.41,0.43,0.40,0.43,10.46,0.42,false
66,0.7934782608695653,0.01400679117147708,0.42,0.40,0.40,0.42,0.42,0.43,0.41,0.43,0.43,0.42,0.43,0.40,0.43,0.41,0.43,0.40,0.41,0.43,0.42,0.41,0.41,0.40,0.42,0.40,0.41,10.39,0.42,false
67,0.8478260869565221,0.014219015280135824,0.45,0.43,0.43,0.43,0.44,0.45,0.43,0.45,0.45,0.44,0.45,0.44,0.47,0.43,0.46,0.43,0.44,0.45,0.45,0.44,0.45,0.44,0.46,0.42,0.44,11.07,0.44,false
68,0.8913043478260868,0.014431239388794566,0.44,0.41,0.44,0.42,0.43,0.45,0.41,0.43,0.43,0.43,0.42,0.43,0.45,0.43,0.44,0.43,0.41,0.44,0.42,0.43,0.43,0.42,0.44,0.42,0.42,10.72,0.43,false
69,0.8804347826086958,0.01464346349745331,0.40,0.39,0.41,0.41,0.40,0.43,0.40,0.39,0.43,0.41,0.42,0.41,0.41,0.40,0.41,0.39,0.40,0.43,0.40,0.39,0.41,0.39,0.41,0.40,0.38,10.12,0.40,false
70,0.8586956521739132,0.014855687606112054,0.39,0.37,0.39,0.40,0.40,0.43,0.39,0.40,0.42,0.39,0.41,0.40,0.40,0.40,0.39,0.39,0.40,0.42,0.38,0.39,0.41,0.39,0.42,0.40,0.38,9.96,0.40,false
71,0.8260869565217395,0.015067911714770798,0.43,0.43,0.41,0.43,0.43,0.46,0.42,0.43,0.45,0.43,0.45,0.44,0.44,0.42,0.44,0.42,0.43,0.47,0.42,0.42,0.45,0.43,0.45,0.44,0.42,10.86,0.43,false
72,0.7826086956521742,0.015280135823429542,0.42,0.40,0.38,0.41,0.42,0.45,0.41,0.42,0.44,0.40,0.42,0.42,0.42,0.40,0.41,0.41,0.40,0.43,0.42,0.41,0.43,0.42,0.43,0.40,0.40,10.37,0.41,false
73,0.7282608695652174,0.015492359932088286,0.38,0.38,0.38,0.38,0.39,0.39,0.38,0.37,0.40,0.38,0.39,0.39,0.38,0.36,0.38,0.38,0.38,0.39,0.37,0.38,0.39,0.37,0.39,0.38,0.37,9.53,0.38,false
74,0.6739130434782611,0.015704584040747028,0.37,0.36,0.36,0.37,0.37,0.40,0.38,0.36,0.39,0.38,0.38,0.38,0.37,0.36,0.38,0.37,0.39,0.39,0.36,0.37,0.37,0.36,0.37,0.37,0.36,9.32,0.37,false
75,0.6304347826086958,0.015916808149405774,0.38,0.37,0.37,0.38,0.37,0.39,0.37,0.38,0.40,0.38,0.39,0.38,0.37,0.37,0.38,0.39,0.38,0.40,0.38,0.37,0.37,0.37,0.38,0.38,0.37,9.47,0.38,false
76,0.5869565217391305,0.016129032258064516,0.40,0.38,0.39,0.38,0.40,0.42,0.39,0.40,0.42,0.41,0.41,0.39,0.40,0.40,0.39,0.41,0.40,0.43,0.40,0.40,0.41,0.39,0.40,0.40,0.40,10.02,0.40,false
77,0.5434782608695653,0.01634125636672326,0.37,0.37,0.37,0.37,0.37,0.38,0.37,0.38,0.38,0.39,0.38,0.38,0.38,0.37,0.37,0.38,0.37,0.39,0.37,0.37,0.37,0.36,0.39,0.37,0.37,9.37,0.37,false
78,0.5108695652173916,0.016553480475382003,0.38,0.36,0.37,0.38,0.38,0.39,0.38,0.38,0.40,0.39,0.39,0.37,0.39,0.37,0.37,0.38,0.38,0.39,0.38,0.39,0.39,0.37,0.38,0.38,0.38,9.52,0.38,false
79,0.4891304347826089,0.016765704584040746,0.38,0.37,0.36,0.38,0.38,0.41,0.37,0.37,0.40,0.39,0.38,0.37,0.38,0.38,0.38,0.39,0.39,0.40,0.39,0.38,0.39,0.37,0.38,0.37,0.37,9.53,0.38,false
80,0.4673913043478263,0.01697792869269949,0.39,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.41,0.38,0.39,0.38,0.37,0.37,0.39,0.40,0.38,0.39,0.38,0.37,0.38,0.37,0.38,0.37,0.38,9.52,0.38,false
81,0.4456521739130437,0.017190152801358233,0.38,0.37,0.37,0.38,0.38,0.39,0.39,0.38,0.41,0.40,0.38,0.39,0.38,0.37,0.38,0.39,0.38,0.39,0.38,0.38,0.39,0.37,0.38,0.38,0.39,9.58,0.38,false
82,0.41304347826086946,0.01740237691001698,0.36,0.35,0.35,0.36,0.36,0.36,0.36,0.36,0.39,0.36,0.37,0.37,0.36,0.35,0.36,0.37,0.37,0.37,0.36,0.35,0.36,0.35,0.36,0.35,0.35,9.01,0.36,false
83,0.39130434782608686,0.01761460101867572,0.37,0.36,0.36,0.36,0.36,0.37,0.36,0.36,0.39,0.37,0.37,0.37,0.37,0.36,0.37,0.39,0.37,0.38,0.37,0.37,0.36,0.36,0.37,0.36,0.35,9.18,0.37,false
84,0.35869565217391314,0.017826825127334467,0.38,0.36,0.38,0.37,0.38,0.38,0.37,0.37,0.39,0.37,0.38,0.37,0.37,0.38,0.38,0.39,0.39,0.38,0.39,0.37,0.38,0.37,0.39,0.36,0.37,9.42,0.38,false
85,0.33695652173913054,0.01803904923599321,0.37,0.36,0.37,0.37,0.38,0.38,0.37,0.38,0.39,0.38,0.37,0.38,0.38,0.38,0.36,0.39,0.37,0.38,0.37,0.37,0.38,0.36,0.39,0.36,0.36,9.35,0.37,false
86,0.3043478260869568,0.01825127334465195,0.37,0.36,0.36,0.38,0.37,0.38,0.36,0.38,0.39,0.37,0.37,0.38,0.38,0.37,0.36,0.39,0.38,0.38,0.37,0.37,0.38,0.38,0.38,0.37,0.36,9.34,0.37,false
87,0.27173913043478265,0.018463497453310697,0.37,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.39,0.38,0.37,0.38,0.37,0.36,0.37,0.37,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,9.31,0.37,false
88,0.25,0.01867572156196944,0.38,0.38,0.38,0.38,0.37,0.39,0.37,0.38,0.40,0.39,0.38,0.39,0.39,0.38,0.38,0.39,0.37,0.39,0.40,0.38,0.38,0.37,0.37,0.39,0.36,9.54,0.38,false
89,0.2173913043478263,0.018887945670628185,0.38,0.38,0.39,0.39,0.39,0.39,0.38,0.39,0.40,0.39,0.39,0.41,0.38,0.38,0.39,0.39,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.37,9.69,0.39,false
90,0.19565217391304368,0.019100169779286927,0.39,0.39,0.39,0.41,0.39,0.39,0.38,0.39,0.40,0.41,0.38,0.41,0.39,0.38,0.40,0.39,0.39,0.40,0.40,0.39,0.39,0.38,0.39,0.40,0.39,9.82,0.39,false
91,0.17391304347826103,0.01931239388794567,0.40,0.39,0.39,0.41,0.38,0.40,0.40,0.39,0.41,0.42,0.39,0.40,0.39,0.38,0.40,0.39,0.40,0.41,0.40,0.40,0.39,0.38,0.40,0.39,0.40,9.91,0.40,false
92,0.1521739130434784,0.019524617996604415,0.39,0.38,0.39,0.42,0.39,0.41,0.40,0.39,0.42,0.42,0.39,0.41,0.39,0.39,0.40,0.41,0.39,0.41,0.40,0.39,0.40,0.39,0.40,0.40,0.41,9.99,0.40,false
93,0.14130434782608686,0.019736842105263157,0.43,0.39,0.40,0.42,0.41,0.42,0.41,0.42,0.44,0.42,0.41,0.43,0.40,0.41,0.42,0.44,0.42,0.42,0.42,0.42,0.43,0.41,0.41,0.41,0.42,10.43,0.42,false
94,0.11956521739130423,0.019949066213921902,0.40,0.40,0.40,0.42,0.40,0.42,0.40,0.40,0.42,0.42,0.40,0.41,0.40,0.39,0.40,0.42,0.39,0.41,0.41,0.39,0.40,0.39,0.41,0.40,0.41,10.11,0.40,false
95,0.10869565217391315,0.020161290322580645,0.40,0.40,0.40,0.42,0.41,0.42,0.40,0.40,0.42,0.41,0.40,0.42,0.41,0.40,0.41,0.43,0.41,0.41,0.42,0.39,0.40,0.39,0.42,0.40,0.41,10.20,0.41,false
96,0.08695652173913052,0.02037351443123939,0.43,0.43,0.44,0.44,0.43,0.42,0.43,0.44,0.46,0.42,0.42,0.45,0.45,0.44,0.45,0.46,0.43,0.43,0.45,0.42,0.45,0.43,0.43,0.44,0.45,10.94,0.44,false
97,0.07608695652173897,0.020585738539898132,0.40,0.42,0.42,0.42,0.41,0.41,0.41,0.42,0.43,0.42,0.41,0.44,0.45,0.41,0.41,0.43,0.41,0.41,0.42,0.40,0.42,0.40,0.43,0.40,0.43,10.43,0.42,false
98,0.05434782608695682,0.020797962648556875,0.39,0.42,0.40,0.42,0.40,0.39,0.40,0.40,0.42,0.40,0.40,0.41,0.40,0.39,0.39,0.41,0.39,0.40,0.39,0.39,0.42,0.39,0.41,0.39,0.42,10.04,0.40,false
