id,month,day,hour,min,n_px,n_p,score,month,day,hour,min
26946,10,28,22,30,0,0,0.78,11,15,10,54
30051,11,30,5,45,0,0,0.75,11,15,10,54
27951,11,8,8,45,0,0,0.74,11,15,10,54
32710,12,27,22,30,1.69,0.024,0.72,11,15,10,54
14348,6,7,13,45,0,0,0.71,11,15,10,54
2435,2,3,9,0,0,0,0.68,11,15,10,54
32711,12,27,22,45,1.7,0.04,0.68,11,15,10,54
1155,1,13,0,45,-0.06,0.537,0.67,11,15,10,54
2432,2,3,8,15,0,0,0.67,11,15,10,54
2443,2,3,11,0,0,0,0.67,11,15,10,54
2444,2,3,11,15,0,0,0.67,11,15,10,54
24024,9,28,12,0,0,1.895,0.67,11,15,10,54
1152,1,13,0,0,-0.06,0.303,0.66,11,15,10,54
1156,1,13,1,0,-0.06,0.62,0.66,11,15,10,54
1158,1,13,1,30,-0.06,0.787,0.66,11,15,10,54
1247,1,13,23,45,0.77,0.81,0.66,11,15,10,54
2433,2,3,8,30,0,0,0.66,11,15,10,54
2439,2,3,10,0,0,0,0.66,11,15,10,54
14771,6,11,23,30,2.31,0.197,0.66,11,15,10,54
16549,6,30,12,0,0,1.447,0.66,11,15,10,54
23976,9,28,0,0,0,1.03,0.66,11,15,10,54
23980,9,28,1,0,0,1.233,0.66,11,15,10,54
1148,1,12,23,0,-0.06,0.001,0.65,11,15,10,54
1154,1,13,0,30,-0.06,0.462,0.65,11,15,10,54
1714,1,18,21,0,1.33,2.683,0.65,11,15,10,54