id,score
4818,0.68
6537,0.67
5053,0.63
5052,0.62
1460,0.61
1461,0.61
1505,0.61
1506,0.61
1521,0.61
2573,0.61
6611,0.61
6612,0.61
208,0.60
209,0.60
1507,0.60
2640,0.60
2641,0.60
2672,0.60
4899,0.60
4900,0.60
6323,0.60
6597,0.60
1433,0.59
1574,0.59
2533,0.59
3881,0.59
4013,0.59
4040,0.59
5522,0.59
6252,0.59
257,0.58
311,0.58
409,0.58
435,0.58
440,0.58
1239,0.58
1415,0.58
2105,0.58
2666,0.58
2671,0.58
3873,0.58
4037,0.58
4573,0.58
4587,0.58
4901,0.58
5446,0.58
6003,0.58
6040,0.58
258,0.57
301,0.57
306,0.57
307,0.57
308,0.57
389,0.57
416,0.57
439,0.57
456,0.57
1520,0.57
2542,0.57
2580,0.57
2602,0.57
2652,0.57
2711,0.57
2715,0.57
2746,0.57
3015,0.57
3120,0.57
3311,0.57
3571,0.57
3902,0.57