id,month,day,hour,min,ce_px,cs_px,c_pu_p,score
20065,8,6,3,0,598.86,0,37.83,0.68
22636,9,1,21,45,34.57,21.36,16.84,0.68
20381,8,9,10,0,0,598.49,53.86,0.67
22671,9,14,9,45,55.22,23.58,52.45,0.66
84,1,1,21,0,222.12,0,7.58,0.65
4067,2,20,9,30,0,625.15,22.8,0.65
20380,8,9,9,45,0,442.8,58.5,0.65
26,1,1,6,30,387.31,0,18.93,0.64
20176,8,7,6,45,476.7,0,87.87,0.64
32369,12,24,9,15,0,624.08,0,0.64
32370,12,24,9,30,0,615.55,0,0.64
2134,1,23,6,0,391.44,0,31.32,0.63
2257,1,24,12,45,0,324.89,15.82,0.63
4068,2,20,9,45,0,635.42,25.51,0.63
7953,4,1,23,0,122.1,99.54,0,0.63
9343,4,16,10,30,0,602.91,5.02,0.63
10685,4,30,10,0,0,501.29,40.87,0.63
11740,5,11,9,45,153.07,39.2,29.04,0.63
18943,7,25,10,30,0,420.62,60.15,0.63
20064,8,6,2,45,586.61,0,42.07,0.63
20148,8,6,23,45,421.4,0,80.53,0.63
32471,12,25,10,45,0,545.86,0,0.63
92,1,1,23,0,325.61,0,0,0.62
5084,3,2,23,45,447.09,0,0,0.62
7807,3,31,10,30,0,499.04,1.67,0.62