Fecha,hora,Caudal impulsión pozo (m3/h),on/off (0/1),2022 Nivel depósito ,2021 Nivel depósito ,2020 Nivel depósito ,2019 Nivel depósito ,2018 Nivel depósito ,2017 Nivel depósito ,2021 nivel depósito calculado,2021 nivel depósito normalizado,Caudal.Imp.GrupoBombeo (m3/h),Caudal impulsion Pozo1 (m3/h),Caudal.Inyectado.Verger (m3/h),2022 Caudal Iny. Dep. Municipal,2021 Caudal Iny. Dep. Municipal,2020 Caudal Iny. Dep. Municipal,2019 Caudal Iny. Dep. Municipal,2018 Caudal Iny. Dep. Municipal,2017 Caudal Iny. Dep. Municipal,2021 Caudal Iny. Dep. Municipal Calculado,2021 Caudal Iny. Dep. Municipal Normalizado,2022 SECTOR2 (BOTICARI VELL),2021 SECTOR2 (BOTICARI VELL),2020 SECTOR2 (BOTICARI VELL),2019 SECTOR2 (BOTICARI VELL),2018 SECTOR2 (BOTICARI VELL),2017 SECTOR2 (BOTICARI VELL),2021 SECTOR2 CALCULADA (BOTICARI VELL),2021 SECTOR2 NORMALIZADA (BOTICARI VELL),2022 SECTOR3 (LA VIA),2021 SECTOR3 (LA VIA),2020 SECTOR3 (LA VIA),2019 SECTOR3 (LA VIA),2018 SECTOR3 (LA VIA),2017 SECTOR3 (LA VIA),2021 SECTOR3 CALCULADA (LA VIA),2021 SECTOR3 NORMALIZADA (LA VIA),2022 SECTOR4 (PASSATGE),2021 SECTOR4 (PASSATGE),2020 SECTOR4 (PASSATGE),2019 SECTOR4 (PASSATGE),2018 SECTOR4 (PASSATGE),2017 SECTOR4 (PASSATGE),2021 SECTOR4 CALCULADA (PASSATGE),2021 SECTOR4 NORMALIZADA (PASSATGE),2022 SECTOR6 (POLIGON),2021 SECTOR6 (POLIGON),2020 SECTOR6 (POLIGON),2019 SECTOR6 (POLIGON),2018 SECTOR6 (POLIGON),2017 SECTOR6 (POLIGON),2021 SECTOR6 CALCULADA (POLIGON),2021 SECTOR6 NORMALIZADA (POLIGON),2022 SECTOR7 (PONT),2021 SECTOR7 (PONT),2020 SECTOR7 (PONT),2019 SECTOR7 (PONT),2018 SECTOR7 (PONT),2017 SECTOR7 (PONT),2021 SECTOR7 CALCULADA (PONT),2021 SECTOR7 NORMALIZADA (PONT),2022 SECTOR8 (OLIVAR),2021 SECTOR8 (OLIVAR),2020 SECTOR8 (OLIVAR),2019 SECTOR8 (OLIVAR),2018 SECTOR8 (OLIVAR),2017 SECTOR8 (OLIVAR),2021 SECTOR8 CALCULADA (OLIVAR),2021 SECTOR8 NORMALIZADA (OLIVAR),﻿Fecha_hora
0,0,24.4,1,3.24,2.72,21.1,14.1,null,null,2.72,2.72,36.52,9.8,46.32,0,null,0,2.6,null,null,0.87,0.87,3.2,7,null,1.8,2.6,null,7,7,1.2,1.2,0.4,0.7,null,null,1.2,1.2,2.9,0,2.1,0.3,null,null,1.77,1.77,6.4,1,4.7,20.9,null,null,1,1,4.3,3.4,5.3,3.6,null,null,3.4,3.4,0.5,null,0.9,0.2,3,null,1.15,1.15,0
0,1,24.28,1,3.22,2.78,20.9,14.6,null,null,2.78,2.78,81.22,0,81.22,0,null,2.56,2.56,null,null,1.71,1.71,2.9,6.2,null,1.6,2.5,null,6.2,6.2,0.8,0.8,0.8,0.6,null,null,0.8,0.8,3.3,0.2,2.7,0.3,null,null,0.2,0.2,6.4,1,2,19,null,null,1,1,4.1,3.4,5.4,3.4,null,null,3.4,3.4,0.4,null,0.2,0.2,1.5,null,0.58,0.58,1
0,2,24.32,1,3.23,2.83,21.2,15,null,null,2.83,2.83,74.39,0,74.39,20.4,null,3.28,2.12,null,null,8.6,8.6,2.8,7.2,null,1.9,2.3,null,7.2,7.2,0.8,1.2,0.4,0.6,null,null,1.2,1.2,3.2,0.1,2.4,0.4,null,null,0.1,0.1,6.4,1.1,2.8,24.7,null,null,1.1,1.1,3.9,3.4,4.9,3.8,null,null,3.4,3.4,0.5,null,0.4,0.5,3.1,null,1.13,1.13,2
0,3,24.36,1,3.27,2.88,21.5,15.4,null,null,2.88,2.88,14.51,0,14.51,19.6,null,3.32,1.96,null,null,8.29,8.29,3,6.9,null,2,2.9,null,6.9,6.9,1.2,1.2,0.4,0.6,null,null,1.2,1.2,3.2,0.2,1.9,0.1,null,null,0.2,0.2,6.4,1,2.3,25.3,null,null,1,1,3.7,3.4,5.2,3.1,null,null,3.4,3.4,0.5,null,0.2,0.4,4.3,null,1.35,1.35,3
0,4,24.36,1,3.27,2.93,21.8,15.8,null,null,2.93,2.93,1.85,0,1.85,0,null,3.16,1.88,null,null,1.68,1.68,3.3,6.8,null,1.7,2.8,null,6.8,6.8,0.8,1.2,0.4,0.6,null,null,1.2,1.2,2.8,0.1,1.8,0.5,null,null,0.1,0.1,6.4,1,3.3,28.8,0.8,null,1,1,3.6,3.4,5.1,3.3,4.4,null,3.4,3.4,1.2,null,0.2,0.3,3.9,null,1.4,1.4,4
0,5,24.32,1,3.26,2.96,22,16.2,null,null,2.96,2.96,40.04,0,40.04,0,null,2.08,2.44,null,null,1.51,1.51,2.5,6.2,null,2.3,2.7,null,6.2,6.2,0.8,1.2,0,0.6,null,null,1.2,1.2,2.9,0,1.9,0.4,null,null,1.73,1.73,6.4,1.1,2.3,25,0.8,null,1.1,1.1,5.2,3.4,5.2,3,4.4,null,3.4,3.4,1.3,null,0.6,0.2,4.3,null,1.6,1.6,5
0,6,24.32,1,3.24,2.99,22.2,16.6,null,null,2.99,2.99,81.24,0,81.24,0,null,2.68,2.68,null,null,1.79,1.79,2.4,6.2,null,2.2,2.6,null,6.2,6.2,1.2,1.2,0.4,0.6,null,null,1.2,1.2,2.9,0,1.7,0.1,null,null,1.57,1.57,6.4,1,2.6,29.3,0.8,null,1,1,4.1,3.4,5.6,3.8,4.4,null,3.4,3.4,0.9,null,1.6,0.3,3.9,null,1.68,1.68,6
0,7,24.32,1,3.23,3.02,22.5,17.1,null,null,3.02,3.02,81.92,0,81.92,0,null,3,2.68,null,null,1.89,1.89,3.3,6.2,null,1.5,2.1,null,6.2,6.2,0.8,0.8,0.4,0.7,null,null,0.8,0.8,2.8,0,2.8,0.2,null,null,1.93,1.93,6.4,1,4.2,29.9,0.8,null,1,1,3.6,3.4,5.6,3.4,4.4,null,3.4,3.4,0.5,null,1.5,0.2,2.3,null,1.13,1.13,7
0,8,24.32,1,3.22,3.04,22.8,17.6,null,null,3.04,3.04,81.22,0,81.22,0,null,3.48,2.64,null,null,2.04,2.04,2.2,6.9,null,1.9,2.4,null,6.9,6.9,1.2,1.2,0.4,0.9,null,null,1.2,1.2,2.3,0,1.9,0.9,null,null,1.7,1.7,6.4,1,1.1,22.4,0.8,null,1,1,3.1,3.4,5.7,3.6,4.4,null,3.4,3.4,0.3,null,1.4,0.3,0.6,null,0.65,0.65,8
0,9,24.36,1,3.21,3.07,23.1,18,null,null,3.07,3.07,44.77,0,44.77,0,null,3.24,2.68,null,null,1.97,1.97,1.7,6.1,null,2,2.4,null,6.1,6.1,1.2,1.2,0.4,1.1,null,null,1.2,1.2,2.2,0,1.6,3.1,null,null,2.3,2.3,6.4,1,1,23,0.8,null,1,1,3.5,3.4,5.2,2.8,4.4,null,3.4,3.4,0.4,null,0.5,0.5,0.5,null,0.48,0.48,9
0,10,24.4,1,3.2,3.1,23.4,18.5,null,null,3.1,3.1,1,0,1,0,null,3,2.64,null,null,1.88,1.88,2.1,5.8,null,1.6,2.3,null,5.8,5.8,0.8,1.2,1.2,1.5,null,null,1.2,1.2,1.3,0.1,1.4,1.2,null,null,0.1,0.1,6.4,1,0.5,19.1,0.8,null,1,1,3.9,3.4,5.2,3.1,4.4,null,3.4,3.4,0.3,null,0.1,0.5,0.6,null,0.38,0.38,10
0,11,24.4,1,3.19,3.13,23.6,18.9,null,null,3.13,3.13,6.28,0,6.28,0,null,2.96,2.76,null,null,1.91,1.91,1.7,5.7,null,1.6,2.4,null,5.7,5.7,0.8,1.2,1.2,1.1,null,null,1.2,1.2,1,0,1.7,0.2,null,null,0.97,0.97,6.4,1,2.2,18.7,0.8,null,1,1,3.2,3.4,5.6,3.3,4.4,null,3.4,3.4,0.5,null,0.4,0.4,0.3,null,0.4,0.4,11
0,12,24.36,1,3.18,3.16,23.9,19.4,null,null,3.16,3.16,76.18,0,76.18,0,null,3.28,3.12,null,null,2.13,2.13,1.5,5.6,null,1.2,2,null,5.6,5.6,0.8,1.6,0.8,0.8,null,null,1.6,1.6,1.1,0,1.3,0.2,null,null,0.87,0.87,6.4,1,2.1,17.1,0.8,null,1,1,3.3,3.4,5.2,2.9,4.4,null,3.4,3.4,0.4,null,0.4,0.9,0.4,null,0.53,0.53,12
0,13,24.32,1,3.17,3.2,24.2,19.9,null,null,3.2,3.2,81.3,0,81.3,0,null,3.44,3.12,null,null,2.19,2.19,1.6,5.8,null,1.9,1.8,null,5.8,5.8,0.8,1.6,0.8,0.6,null,null,1.6,1.6,1.3,0,1.5,0.1,null,null,0.97,0.97,6.4,1,0.7,17,0.8,null,1,1,3.5,3.4,5.2,3.2,4.4,null,3.4,3.4,0.3,null,0.4,0.8,0.5,null,0.5,0.5,13
0,14,24.36,1,3.16,3.23,24.5,20.4,null,null,3.23,3.23,76.52,0,76.52,0,null,3.8,3.2,null,null,2.33,2.33,1.6,5.5,null,1.3,1.8,null,5.5,5.5,0.8,2,0.4,0.6,null,null,2,2,1.3,0,1.4,0.1,null,null,0.93,0.93,6.4,1,1.6,17.2,0.8,null,1,1,3.1,3.4,4.9,3.3,4.4,null,3.4,3.4,0.2,null,0.1,0.4,1.5,null,0.55,0.55,14
0,15,24.36,1,3.15,3.27,24.8,20.9,null,null,3.27,3.27,25.18,0,25.18,0,null,3.6,3.28,null,null,2.29,2.29,1.4,5.7,null,1.1,1.7,null,5.7,5.7,0.8,1.2,0,0.6,null,null,1.2,1.2,1.1,0,1.4,0.1,null,null,0.87,0.87,6.4,0.9,1.6,16.4,0.8,null,0.9,0.9,3.1,3.4,5.3,3,4.4,null,3.4,3.4,1.9,null,0.2,0.4,1.8,null,1.08,1.08,15
0,16,24.36,1,3.14,3.25,25.2,21.4,null,null,3.25,3.25,1,0,1,0,null,3.72,3.24,null,null,2.32,2.32,1.5,5.8,null,1.4,2.2,null,5.8,5.8,0.8,1.2,0.8,0.6,null,null,1.2,1.2,0.6,0.1,1.5,0.1,null,null,0.1,0.1,6.4,0.8,1.4,17.9,0.8,null,0.8,0.8,2.6,3.4,5.1,3.3,4.4,null,3.4,3.4,1.4,null,0.2,0.1,0.4,null,0.53,0.53,16
0,17,24.36,1,3.13,3.21,25.5,21.9,null,null,3.21,3.21,0.47,0,0.47,0,null,3.8,3.24,null,null,2.35,2.35,1.3,5.5,null,1.6,2.9,null,5.5,5.5,0.8,1.2,0.4,0.5,null,null,1.2,1.2,0.7,0,1.4,0.1,null,null,0.73,0.73,6.4,0.8,1.4,15.6,0.8,null,0.8,0.8,3.6,3.4,5.2,3,4.4,null,3.4,3.4,2.2,null,0.6,0.2,1.4,null,1.1,1.1,17
0,18,24.36,1,3.12,3.18,25.8,22.4,null,null,3.18,3.18,0,0,0,0,null,3.8,3.36,null,null,2.39,2.39,1.2,5.7,null,1,5,null,5.7,5.7,0.8,1.6,0.8,0.6,null,null,1.6,1.6,0.9,0,1.4,0,null,null,0.77,0.77,6.4,0.9,2.3,16.1,0.8,null,0.9,0.9,3.5,3.4,5.5,3.1,4.4,null,3.4,3.4,2.7,null,1.5,0.2,2.2,null,1.65,1.65,18